ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,,,,1,1,IE,Private room,nan,2014,10,,,,True
2014-10-01,2014-11-15,2014-11-19,4.0,1,2,DE,Private room,3-5 nights,2014,10,5.0,11.0,45.0,True
2014-10-01,2015-05-15,2015-05-17,2.0,6,6,GB,No Filter,1-2 nights,2014,10,4.0,5.0,226.0,True
2014-10-01,,,,1,1,SI,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-04,2014-11-07,3.0,1,4,SI,No Filter,3-5 nights,2014,10,1.0,11.0,34.0,True
2014-10-01,,,,2,2,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-05,2014-10-08,3.0,2,2,IE,Entire home/apt,3-5 nights,2014,10,6.0,10.0,4.0,True
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2015-02-28,2015-03-02,2.0,1,4,GB,No Filter,1-2 nights,2014,10,5.0,2.0,150.0,False
2014-10-01,2014-10-18,2015-02-22,127.0,1,1,IE,No Filter,15+ nights,2014,10,5.0,10.0,17.0,False
2014-10-01,,,,4,4,US,No Filter,nan,2014,10,,,,True
2014-10-01,2014-11-02,2014-11-08,6.0,2,2,IE,Entire home/apt,6-14 nights,2014,10,6.0,11.0,32.0,False
2014-10-01,,,,1,1,ES,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2014-12-30,2015-01-02,3.0,1,16,GB,No Filter,3-5 nights,2014,10,1.0,12.0,90.0,False
2014-10-01,2014-10-18,2014-10-20,2.0,2,2,FR,Entire home/apt,1-2 nights,2014,10,5.0,10.0,17.0,False
2014-10-01,2014-12-20,2014-12-21,1.0,1,1,GB,Entire home/apt,1-2 nights,2014,10,5.0,12.0,80.0,False
2014-10-01,2014-11-07,2014-11-10,3.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,4.0,11.0,37.0,True
2014-10-01,,,,2,2,IE,Entire home/apt,nan,2014,10,,,,True
2014-10-01,2014-10-03,2014-10-05,2.0,1,1,FR,Private room,1-2 nights,2014,10,4.0,10.0,2.0,True
2014-10-01,2014-10-01,2014-10-06,5.0,2,3,FR,Entire home/apt,3-5 nights,2014,10,2.0,10.0,0.0,True
2014-10-01,,,,1,1,US,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-10,2014-10-12,2.0,6,8,US,Entire home/apt,1-2 nights,2014,10,4.0,10.0,9.0,True
